gene,logFC,direction_class,desired_direction,pathway,confidence
IL2RA,0.80,pathogenic,-1,adaptive_immunity,0.9
HLA-DRB1,1.20,pathogenic,-1,adaptive_immunity,0.9
IFNG,1.50,pathogenic,-1,adaptive_immunity,0.9
IL17A,1.40,pathogenic,-1,adaptive_immunity,0.9
IL23A,1.10,pathogenic,-1,adaptive_immunity,0.8
IL12B,0.95,pathogenic,-1,adaptive_immunity,0.8
CD40,0.85,pathogenic,-1,adaptive_immunity,0.8
CD40LG,0.90,pathogenic,-1,adaptive_immunity,0.8
CTLA4,-0.45,protective_deficit,1,adaptive_immunity,0.6
TBX21,1.05,pathogenic,-1,adaptive_immunity,0.8
RORC,1.25,pathogenic,-1,adaptive_immunity,0.8
FOXP3,-0.70,protective_deficit,1,adaptive_immunity,0.8
IL10,-0.85,protective_deficit,1,adaptive_immunity,0.8
TGFB1,-0.40,protective_deficit,1,adaptive_immunity,0.6
CD28,0.55,pathogenic,-1,adaptive_immunity,0.6
ICOS,0.60,pathogenic,-1,adaptive_immunity,0.6
STAT1,0.95,pathogenic,-1,adaptive_immunity,0.7
STAT3,1.00,pathogenic,-1,adaptive_immunity,0.8
STAT4,0.75,pathogenic,-1,adaptive_immunity,0.7
MS4A1,0.90,pathogenic,-1,B_cell_immunity,0.9
CD19,0.85,pathogenic,-1,B_cell_immunity,0.9
CD27,0.70,pathogenic,-1,B_cell_immunity,0.7
TNFSF13B,1.15,pathogenic,-1,B_cell_immunity,0.8
CR2,0.65,pathogenic,-1,B_cell_immunity,0.7
BTK,0.95,pathogenic,-1,B_cell_immunity,0.9
CD79A,0.70,pathogenic,-1,B_cell_immunity,0.7
CD79B,0.68,pathogenic,-1,B_cell_immunity,0.7
POU2AF1,0.72,pathogenic,-1,B_cell_immunity,0.6
AICDA,0.60,pathogenic,-1,B_cell_immunity,0.6
TNF,0.90,pathogenic,-1,innate_immunity,0.9
IL1B,1.30,pathogenic,-1,innate_immunity,0.9
IL6,1.20,pathogenic,-1,innate_immunity,0.9
NLRP3,1.10,pathogenic,-1,innate_immunity,0.8
TLR4,0.85,pathogenic,-1,innate_immunity,0.8
TREM2,0.75,compensatory,1,microglial_activation,0.6
CD68,1.25,pathogenic,-1,microglial_activation,0.8
AIF1,1.15,pathogenic,-1,microglial_activation,0.8
CSF1R,0.95,pathogenic,-1,microglial_activation,0.8
TYROBP,0.90,pathogenic,-1,microglial_activation,0.7
C1QA,1.05,pathogenic,-1,innate_immunity,0.8
C3,1.20,pathogenic,-1,innate_immunity,0.8
C5,0.80,pathogenic,-1,innate_immunity,0.7
CFH,-0.35,protective_deficit,1,innate_immunity,0.5
ITGAM,1.00,pathogenic,-1,microglial_activation,0.8
NOS2,1.35,pathogenic,-1,oxidative_stress,0.8
CYBB,1.20,pathogenic,-1,oxidative_stress,0.8
ITGA4,0.95,pathogenic,-1,lymphocyte_trafficking,0.9
ITGB1,0.70,pathogenic,-1,lymphocyte_trafficking,0.7
S1PR1,0.85,pathogenic,-1,lymphocyte_trafficking,0.9
S1PR5,0.40,pathogenic,-1,lymphocyte_trafficking,0.7
CCR2,0.90,pathogenic,-1,lymphocyte_trafficking,0.8
CCL2,1.10,pathogenic,-1,lymphocyte_trafficking,0.8
CCL5,1.05,pathogenic,-1,lymphocyte_trafficking,0.8
CXCL10,1.40,pathogenic,-1,lymphocyte_trafficking,0.9
CXCL13,1.30,pathogenic,-1,B_cell_immunity,0.9
VCAM1,1.15,pathogenic,-1,blood_brain_barrier,0.8
ICAM1,1.10,pathogenic,-1,blood_brain_barrier,0.8
MMP9,1.45,pathogenic,-1,blood_brain_barrier,0.9
SELL,0.60,pathogenic,-1,lymphocyte_trafficking,0.6
CCR6,0.85,pathogenic,-1,lymphocyte_trafficking,0.7
CLDN5,-1.10,protective_deficit,1,blood_brain_barrier,0.8
OCLN,-0.95,protective_deficit,1,blood_brain_barrier,0.8
TJP1,-0.80,protective_deficit,1,blood_brain_barrier,0.7
VWF,0.75,pathogenic,-1,blood_brain_barrier,0.6
ANGPT2,0.85,pathogenic,-1,blood_brain_barrier,0.6
PECAM1,-0.40,protective_deficit,1,blood_brain_barrier,0.5
NFE2L2,-0.55,protective_deficit,1,oxidative_stress,0.7
HMOX1,0.70,compensatory,1,oxidative_stress,0.7
NQO1,-0.50,protective_deficit,1,oxidative_stress,0.7
SOD1,-0.45,protective_deficit,1,oxidative_stress,0.6
SOD2,0.55,compensatory,1,oxidative_stress,0.6
CAT,-0.60,protective_deficit,1,oxidative_stress,0.6
GPX1,-0.55,protective_deficit,1,oxidative_stress,0.6
TXN,-0.40,protective_deficit,1,oxidative_stress,0.5
GSR,-0.45,protective_deficit,1,oxidative_stress,0.5
MBP,-1.60,protective_deficit,1,remyelination,0.9
PLP1,-1.55,protective_deficit,1,remyelination,0.9
MOG,-1.40,protective_deficit,1,remyelination,0.9
MAG,-1.35,protective_deficit,1,remyelination,0.9
CNP,-1.20,protective_deficit,1,remyelination,0.8
SOX10,-0.90,protective_deficit,1,remyelination,0.8
OLIG1,-0.85,protective_deficit,1,remyelination,0.8
OLIG2,-0.75,protective_deficit,1,remyelination,0.8
MYRF,-1.00,protective_deficit,1,remyelination,0.8
GPR17,0.80,pathogenic,-1,remyelination,0.7
LINGO1,0.95,pathogenic,-1,remyelination,0.8
NOTCH1,0.70,pathogenic,-1,remyelination,0.6
ID2,0.65,pathogenic,-1,remyelination,0.6
CSPG4,0.85,pathogenic,-1,remyelination,0.7
PDGFRA,0.50,compensatory,1,remyelination,0.6
NEFL,1.30,pathogenic,-1,neuroprotection,0.9
NEFH,1.15,pathogenic,-1,neuroprotection,0.8
APP,0.90,pathogenic,-1,neuroprotection,0.7
BDNF,-0.95,protective_deficit,1,neuroprotection,0.8
NTRK2,-0.70,protective_deficit,1,neuroprotection,0.7
