protein_a	protein_b	combined_score
ACKR2	AKT1	0.549
ACKR2	AOC3	0.442
ACKR2	APP	0.416
ACKR2	CCL11	0.795
ACKR2	CCL17	0.99
ACKR2	CCL19	0.965
ACKR2	CCL2	0.985
ACKR2	CCL20	0.814
ACKR2	CCL21	0.992
ACKR2	CCL22	0.977
ACKR2	CCL3	0.982
ACKR2	CCL4	0.93
ACKR2	CCL5	0.985
ACKR2	CCR1	0.824
ACKR2	CCR2	0.803
ACKR2	CCR3	0.551
ACKR2	CCR5	0.668
ACKR2	CCR6	0.615
ACKR2	CCR7	0.833
ACKR2	CCR8	0.58
ACKR2	CCR9	0.406
ACKR2	CCRL2	0.697
ACKR2	CD19	0.53
ACKR2	CD2	0.561
ACKR2	CD27	0.507
ACKR2	CD274	0.445
ACKR2	CD28	0.48
ACKR2	CD38	0.618
ACKR2	CD4	0.734
ACKR2	CD40	0.482
ACKR2	CD40LG	0.432
ACKR2	CD44	0.479
ACKR2	CD69	0.572
ACKR2	CD80	0.537
ACKR2	CD86	0.507
ACKR2	CD8A	0.817
ACKR2	CSF2	0.445
ACKR2	CTLA4	0.514
ACKR2	CX3CL1	0.441
ACKR2	CX3CR1	0.438
ACKR2	CXCL1	0.454
ACKR2	CXCL10	0.723
ACKR2	CXCL11	0.672
ACKR2	CXCL12	0.9
ACKR2	CXCL13	0.685
ACKR2	CXCL8	0.675
ACKR2	CXCL9	0.702
ACKR2	CXCR2	0.451
ACKR2	CXCR3	0.518
ACKR2	CXCR4	0.643
ACKR2	CXCR5	0.489
ACKR2	CXCR6	0.418
ACKR2	FCGR3A	0.446
ACKR2	FCGR3B	0.446
ACKR2	FOXP3	0.666
ACKR2	GZMB	0.482
ACKR2	ICAM1	0.416
ACKR2	ICOS	0.483
ACKR2	IDO1	0.406
ACKR2	IFNA1	0.482
ACKR2	IFNB1	0.496
ACKR2	IFNG	0.623
ACKR2	IL10	0.595
ACKR2	IL13	0.506
ACKR2	IL15	0.481
ACKR2	IL17A	0.609
ACKR2	IL18	0.408
ACKR2	IL1B	0.481
ACKR2	IL2	0.567
ACKR2	IL22	0.591
ACKR2	IL2RA	0.536
ACKR2	IL2RB	0.4
ACKR2	IL33	0.4
ACKR2	IL4	0.545
ACKR2	IL5	0.476
ACKR2	IL6	0.527
ACKR2	IL7	0.476
ACKR2	IL7R	0.58
ACKR2	IRF8	0.514
ACKR2	ITGA4	0.647
ACKR2	ITGAE	0.72
ACKR2	ITGAM	0.571
ACKR2	ITGAX	0.583
ACKR2	ITGB1	0.529
ACKR2	KLRB1	0.479
ACKR2	KLRG1	0.435
ACKR2	LAG3	0.428
ACKR2	LCK	0.461
ACKR2	NCAM1	0.612
ACKR2	PRF1	0.418
ACKR2	PTPRC	0.578
ACKR2	RORC	0.442
ACKR2	S1PR1	0.62
ACKR2	SELE	0.642
ACKR2	SELL	0.753
ACKR2	SELP	0.661
ACKR2	TBX21	0.543
ACKR2	TGFB1	0.576
ACKR2	TNF	0.548
ACKR2	VCAM1	0.785
AICDA	ATP5F1A	0.48
AICDA	BCL2	0.491
AICDA	BCL6	0.898
AICDA	BTK	0.493
AICDA	CD19	0.788
AICDA	CD22	0.482
AICDA	CD27	0.728
AICDA	CD38	0.617
AICDA	CD4	0.566
AICDA	CD40	0.805
AICDA	CD40LG	0.853
AICDA	CD5	0.473
AICDA	CD79A	0.514
AICDA	CD79B	0.571
AICDA	CD80	0.429
AICDA	CD86	0.474
AICDA	CD8A	0.447
AICDA	CR2	0.663
AICDA	CXCL13	0.566
AICDA	CXCR4	0.509
AICDA	CXCR5	0.607
AICDA	FAS	0.596
AICDA	ICOS	0.449
AICDA	IFNG	0.437
AICDA	IL10	0.482
AICDA	IL17A	0.405
AICDA	IL21	0.547
AICDA	IL21R	0.5
AICDA	IL4	0.725
