protein_a	protein_b	combined_score
ACHE	AKT1	0.495
ACHE	ALB	0.589
ACHE	APOE	0.769
ACHE	APP	0.937
ACHE	BACE1	0.831
ACHE	BCL2	0.465
ACHE	BDNF	0.672
ACHE	CALB1	0.565
ACHE	CASP3	0.53
ACHE	CDK5	0.451
ACHE	CHAT	0.933
ACHE	COMT	0.478
ACHE	CREB1	0.512
ACHE	CYCS	0.416
ACHE	DBH	0.513
ACHE	DLG4	0.481
ACHE	DRD2	0.427
ACHE	EGFR	0.506
ACHE	FOS	0.407
ACHE	GDNF	0.442
ACHE	GFAP	0.461
ACHE	GPX2	0.68
ACHE	GPX3	0.687
ACHE	GPX5	0.69
ACHE	GPX6	0.69
ACHE	GPX7	0.701
ACHE	GPX8	0.702
ACHE	GSK3B	0.517
ACHE	GSR	0.596
ACHE	HMOX1	0.465
ACHE	HSPA4	0.401
ACHE	HTT	0.415
ACHE	IFNG	0.423
ACHE	IL10	0.421
ACHE	IL1B	0.583
ACHE	IL6	0.555
ACHE	INS	0.528
ACHE	MAOA	0.761
ACHE	MAOB	0.91
ACHE	MAPT	0.817
ACHE	NFE2L2	0.405
ACHE	NGF	0.635
ACHE	NTRK2	0.437
ACHE	PPARG	0.4
ACHE	PSEN1	0.751
ACHE	PSEN2	0.489
ACHE	PTGS2	0.508
ACHE	PXDN	0.695
ACHE	PXDNL	0.695
ACHE	SLC18A2	0.402
ACHE	SLC6A3	0.447
ACHE	SNCA	0.541
ACHE	SYN1	0.434
ACHE	SYP	0.55
ACHE	TAC1	0.62
ACHE	TARDBP	0.406
ACHE	TH	0.639
ACHE	TNF	0.528
ACHE	XDH	0.739
ACSL4	FTH1	0.62
ACSL4	FTL	0.5
ACSL4	GAPDH	0.418
ACSL4	GPX4	0.834
ACSL4	HMOX1	0.418
ACSL4	HSPA5	0.401
ACSL4	HSPA9	0.482
ACSL4	KEAP1	0.411
ACSL4	MFN2	0.604
ACSL4	NCOA4	0.623
ACSL4	NFE2L2	0.645
ACSL4	NOX1	0.411
ACSL4	PPARA	0.585
ACSL4	PPARG	0.588
ACSL4	PRKN	0.472
ACSL4	PTGS2	0.54
ACSL4	RIPK3	0.429
ACSL4	SCARB2	0.602
ACSL4	SLC11A2	0.559
ACSL4	SLC40A1	0.472
ACSL4	TFRC	0.657
ACSL4	TP53	0.55
ACSL4	VDAC1	0.437
ACSL4	VDAC2	0.448
ACTB	AGT	0.582
ACTB	AIF1	0.754
ACTB	AKT1	0.923
ACTB	ALB	0.886
ACTB	ALDH1A1	0.548
ACTB	ANXA5	0.95
ACTB	APOE	0.643
ACTB	APP	0.801
ACTB	ATF4	0.548
ACTB	ATF6	0.627
ACTB	ATG12	0.564
ACTB	ATG16L1	0.423
ACTB	ATG3	0.484
ACTB	ATG5	0.742
ACTB	ATG7	0.666
ACTB	ATP5F1A	0.642
ACTB	BACE1	0.596
ACTB	BAX	0.611
ACTB	BCL2	0.885
ACTB	BCL2L1	0.784
ACTB	BDNF	0.71
