gene,logFC,direction_class,desired_direction,pathway,confidence
SNCA,1.4,pathogenic,-1,alpha_synuclein_proteostasis,0.95
SNCB,-0.6,protective_deficit,1,alpha_synuclein_proteostasis,0.7
HSPA8,-0.7,protective_deficit,1,alpha_synuclein_proteostasis,0.8
HSPA5,0.65,compensatory,1,alpha_synuclein_proteostasis,0.7
DNAJB1,-0.55,protective_deficit,1,alpha_synuclein_proteostasis,0.65
HSPB1,0.6,compensatory,1,alpha_synuclein_proteostasis,0.65
SQSTM1,0.85,pathogenic,-1,alpha_synuclein_proteostasis,0.75
UCHL1,-0.75,protective_deficit,1,alpha_synuclein_proteostasis,0.8
PSMD4,-0.6,protective_deficit,1,alpha_synuclein_proteostasis,0.7
STUB1,-0.5,protective_deficit,1,alpha_synuclein_proteostasis,0.65
GBA1,-1.1,protective_deficit,1,lysosomal_autophagy,0.95
LAMP1,-0.65,protective_deficit,1,lysosomal_autophagy,0.8
LAMP2,-0.7,protective_deficit,1,lysosomal_autophagy,0.8
TFEB,-0.8,protective_deficit,1,lysosomal_autophagy,0.85
CTSD,-0.6,protective_deficit,1,lysosomal_autophagy,0.75
CTSB,-0.55,protective_deficit,1,lysosomal_autophagy,0.7
ATP13A2,-0.85,protective_deficit,1,lysosomal_autophagy,0.85
MAP1LC3B,-0.6,protective_deficit,1,lysosomal_autophagy,0.75
MTOR,0.7,pathogenic,-1,lysosomal_autophagy,0.8
VPS35,-0.65,protective_deficit,1,lysosomal_autophagy,0.8
SCARB2,-0.55,protective_deficit,1,lysosomal_autophagy,0.7
PINK1,-0.95,protective_deficit,1,mitophagy,0.9
PRKN,-1.0,protective_deficit,1,mitophagy,0.9
PARK7,-0.85,protective_deficit,1,mitophagy,0.9
FBXO7,-0.55,protective_deficit,1,mitophagy,0.7
OPA1,-0.6,protective_deficit,1,mitochondrial_function,0.75
MFN2,-0.65,protective_deficit,1,mitochondrial_function,0.75
DNM1L,0.75,pathogenic,-1,mitochondrial_function,0.75
NDUFS1,-0.8,protective_deficit,1,mitochondrial_function,0.85
NDUFA9,-0.7,protective_deficit,1,mitochondrial_function,0.8
SDHB,-0.5,protective_deficit,1,mitochondrial_function,0.7
PPARGC1A,-0.9,protective_deficit,1,mitochondrial_function,0.85
TFAM,-0.7,protective_deficit,1,mitochondrial_function,0.8
ATP5F1A,-0.65,protective_deficit,1,mitochondrial_function,0.75
NFE2L2,-0.75,protective_deficit,1,oxidative_stress,0.85
NQO1,0.7,compensatory,1,oxidative_stress,0.75
HMOX1,0.9,compensatory,1,oxidative_stress,0.8
SOD1,-0.55,protective_deficit,1,oxidative_stress,0.75
SOD2,-0.65,protective_deficit,1,oxidative_stress,0.8
CAT,-0.5,protective_deficit,1,oxidative_stress,0.7
GPX4,-0.8,protective_deficit,1,oxidative_stress,0.85
GSR,-0.55,protective_deficit,1,oxidative_stress,0.7
TXN,-0.55,protective_deficit,1,oxidative_stress,0.7
CYBB,1.05,pathogenic,-1,oxidative_stress,0.75
FTH1,0.95,pathogenic,-1,iron_metabolism,0.8
FTL,0.9,pathogenic,-1,iron_metabolism,0.8
TFRC,0.8,pathogenic,-1,iron_metabolism,0.75
SLC40A1,-0.6,protective_deficit,1,iron_metabolism,0.7
ACSL4,0.75,pathogenic,-1,iron_metabolism,0.7
TH,-1.6,protective_deficit,1,dopaminergic_neurotransmission,0.95
SLC6A3,-1.5,protective_deficit,1,dopaminergic_neurotransmission,0.95
SLC18A2,-1.2,protective_deficit,1,dopaminergic_neurotransmission,0.9
DDC,-1.0,protective_deficit,1,dopaminergic_neurotransmission,0.9
DRD1,-0.6,protective_deficit,1,dopaminergic_neurotransmission,0.8
DRD2,-0.7,protective_deficit,1,dopaminergic_neurotransmission,0.85
MAOB,0.95,pathogenic,-1,dopaminergic_neurotransmission,0.9
COMT,0.7,pathogenic,-1,dopaminergic_neurotransmission,0.85
NR4A2,-0.85,protective_deficit,1,dopaminergic_neurotransmission,0.85
ALDH1A1,-0.9,protective_deficit,1,dopaminergic_neurotransmission,0.8
AIF1,1.2,pathogenic,-1,neuroinflammation,0.85
CD68,1.1,pathogenic,-1,neuroinflammation,0.8
TNF,1.15,pathogenic,-1,neuroinflammation,0.85
IL1B,1.25,pathogenic,-1,neuroinflammation,0.85
IL6,1.05,pathogenic,-1,neuroinflammation,0.8
NLRP3,1.3,pathogenic,-1,neuroinflammation,0.85
CASP1,1.0,pathogenic,-1,neuroinflammation,0.8
TLR4,0.95,pathogenic,-1,neuroinflammation,0.8
GFAP,1.1,pathogenic,-1,neuroinflammation,0.75
CCL2,0.9,pathogenic,-1,neuroinflammation,0.75
NFKB1,0.85,pathogenic,-1,neuroinflammation,0.75
HLA-DRA,1.0,pathogenic,-1,neuroinflammation,0.8
LRRK2,1.2,pathogenic,-1,kinase_signalling,0.9
RAB10,0.8,pathogenic,-1,kinase_signalling,0.8
RAB29,0.65,pathogenic,-1,kinase_signalling,0.7
GSK3B,0.85,pathogenic,-1,kinase_signalling,0.75
CDK5,0.75,pathogenic,-1,kinase_signalling,0.7
CACNA1D,0.9,pathogenic,-1,calcium_homeostasis,0.8
CALB1,-0.75,protective_deficit,1,calcium_homeostasis,0.8
ITPR1,0.6,pathogenic,-1,calcium_homeostasis,0.65
BDNF,-1.05,protective_deficit,1,trophic_support,0.85
GDNF,-0.95,protective_deficit,1,trophic_support,0.85
NTRK2,-0.7,protective_deficit,1,trophic_support,0.8
RET,-0.65,protective_deficit,1,trophic_support,0.75
NEFL,1.15,pathogenic,-1,axonal_integrity,0.85
MAPT,0.8,pathogenic,-1,axonal_integrity,0.8
SNCAIP,0.6,pathogenic,-1,axonal_integrity,0.65
SYN1,-0.7,protective_deficit,1,axonal_integrity,0.75
CASP3,1.05,pathogenic,-1,apoptosis,0.8
BAX,0.9,pathogenic,-1,apoptosis,0.75
BCL2,-0.75,protective_deficit,1,apoptosis,0.8
