rank,drug_a,drug_b,priority_score,p_empirical,q_value,permutation_z,signed_reversal,reversal_efficiency,reversal_gain_over_best_single,counter_therapeutic,gene_coverage,pathway_coverage,axis_coverage,target_complementarity,compartment_complementarity,cns_reach,regimen_compatibility,network_separation,proximity_z_a,proximity_z_b,complementary_exposure,evidence_score,uncertainty,safety_union,safety_overlap,worst_risk_domain,same_mechanism,shared_safety_class,redundant_targets,excluded_from_primary_ranking,pareto_optimal
1,Clemastine,Minocycline,1.5108,0.00249,0.00837,5.1381,0.0971,0.4244,0.0477,0.0,0.2288,0.6,0.6,1.0,1.0,0.75,1.0,0.2778,-0.7049,-3.6179,True,0.3333,0.475,0.1157,0.001,autoimmunity,False,False,False,False,True
2,Minocycline,Opicinumab,1.5017,0.00249,0.00837,4.5551,0.0991,0.423,0.0494,0.0,0.2343,0.6,0.6,1.0,1.0,0.7,0.6867,0.2778,-3.6179,-0.7473,True,0.3333,0.525,0.1157,0.001,autoimmunity,False,False,False,False,True
3,Minocycline,Ocrelizumab,1.4876,0.00249,0.00837,2.9138,0.0935,0.4845,0.0441,0.0,0.193,0.7,0.6,1.0,1.0,0.7,0.5533,0.2222,-3.6179,-2.7449,True,0.3333,0.325,0.2657,0.0118,infection,False,False,False,False,True
4,Minocycline,Ofatumumab,1.4703,0.00249,0.00837,2.6717,0.0895,0.4867,0.0401,0.0,0.1839,0.6,0.6,1.0,1.0,0.7,0.6867,0.2917,-3.6179,-2.3838,True,0.3333,0.325,0.2392,0.0098,infection,False,False,False,False,True
5,Clemastine,Ocrelizumab,1.4673,0.00249,0.00837,3.969,0.0918,0.4916,0.0441,0.0,0.1867,0.3,0.4,1.0,1.0,0.75,0.5533,1.0,-0.7049,-2.7449,True,0.3333,0.35,0.1745,0.0059,infection,False,False,False,False,True
6,Minocycline,Ublituximab,1.4663,0.00249,0.00837,2.6354,0.0886,0.4945,0.0392,0.0,0.1792,0.6,0.6,1.0,1.0,0.7,0.6867,0.3095,-3.6179,-2.5884,True,0.3333,0.35,0.2392,0.0098,infection,False,False,False,False,True
7,Minocycline,Rituximab,1.4463,0.00249,0.00837,2.9457,0.0862,0.481,0.0368,0.0,0.1792,0.6,0.6,1.0,1.0,0.7,0.5533,0.3095,-3.6179,-2.5884,True,0.3333,0.35,0.2569,0.0108,infection,False,False,False,False,False
8,Clemastine,Ibudilast,1.4457,0.00249,0.00837,4.3378,0.088,0.3989,0.0403,0.0,0.2205,0.4,0.6,1.0,1.0,0.75,1.0,0.2222,-0.7049,-4.4103,True,0.3333,0.475,0.0559,0.001,infection,False,False,False,False,True
9,Clemastine,Ofatumumab,1.4435,0.00249,0.00837,3.6415,0.0878,0.4942,0.0401,0.0,0.1776,0.2,0.4,1.0,1.0,0.75,0.6867,1.0,-0.7049,-2.3838,True,0.3333,0.35,0.1471,0.0049,infection,False,False,False,False,True
10,Clemastine,Methylprednisolone,1.4384,0.00249,0.00837,5.2047,0.1034,0.416,0.0477,0.0,0.2486,0.4,0.4,1.0,0.75,0.75,0.82,0.5944,-0.7049,-3.1022,True,0.3333,0.4,0.1304,0.0049,infection,False,False,False,False,True
